"1	CID1
"16	CID16
eticlopride	CID57267
etidronic-acid	CID3305
etilefrine	CID3306
etilevodopa	CID170345
etizolam	CID3307
etodolac	CID3308
etofenamate	CID35375
etofibrate	CID65777
etofylline	CID1892
etofylline-clofibrate	CID41109
etomidate	CID36339
etomoxir	CID9840324
etonogestrel	CID6917715
etoposide	CID36462
etoposide-phosphate	CID6918092
etoricoxib	CID123619
etosalamide	CID208946
etravirine	CID193962
eugenol	CID3314
eupatilin	CID5273755
evacetrapib	CID49836058
evans-blue	CID9409
evatanepag	CID9890801
everolimus	CID6442177
evodiamine	CID442088
exalamide	CID3316
examorelin	CID6918297
exatecan-mesylate	CID151114
exemestane	CID60198
exherin	CID9916058
exifone	CID40399
exisulind	CID5472495
ezatiostat	CID5310939
ezetimibe	CID150311
ezutromid	CID25109292
fadrozole	CID59693
fagomine	CID72259
falecalcitriol	CID5282190
famciclovir	CID3324
famotidine	CID3325
famprofazone	CID3326
fananserin	CID60785
fanetizole	CID54339
faropenem	CID65894
faropenem-medoxomil	CID6918218
fasudil	CID3547
favipiravir	CID492405
fdcyd	CID515328
febuxostat	CID134018
felbamate	CID3331
felbinac	CID3332
felodipine	CID3333
fenaclon	CID9376
fenbendazole	CID3334
fenbufen	CID3335
fenclonine-(+/-)	CID4652
fendiline	CID3336
fenigam	CID14113
fenobam	CID135416855
fenofibrate	CID3339
fenofibric-acid	CID64929
fenoldopam	CID3341
fenoprofen	CID3342
fenoterol	CID3343
fenoverine	CID72098
fenretinide	CID5288209
fenspiride	CID3344
fenthion	CID3346
fentiazac	CID28871
fenticonazole	CID51755
ferulic-acid	CID445858
fesoterodine	CID6918558
fexaramine	CID5326713
fexinidazole	CID68792
fexofenadine	CID3348
fiacitabine	CID50312
fidarestat	CID160024
fidaxomicin	CID10034073
filanesib	CID44224257
filgotinib	CID49831257
fimasartan	CID9870652
finafloxacin	CID11567473
finasteride	CID57363
fingolimod	CID107970
fipexide	CID3351
fipronil	CID3352
firategrast	CID9935681
firocoxib	CID208910
flavoxate	CID3354
flecainide	CID3356
fleroxacin	CID3357
flibanserin	CID6918248
flindokalner	CID214350
floctafenine	CID3360
flopropione	CID3362
florfenicol	CID114811
floxuridine	CID5790
flubendazole	CID35802
flucloxacillin	CID21319
fluconazole	CID3365
flucytosine	CID3366
fludarabine	CID657237
fludarabine-phosphate	CID30751
fludrocortisone-acetate	CID225609
fludroxycortide	CID15209
flufenamic-acid	CID3371
flumatinib	CID46848036
flumazenil	CID3373
flumecinol	CID41870
flumequine	CID3374
flumethasone	CID16490
flumethasone-pivalate	CID443980
flunarizine	CID941361
flunisolide	CID82153
flunixin-meglumin	CID54649694
fluocinolone-acetonide	CID6215
fluocinonide	CID9642
fluorescein	CID16850
fluorometholone	CID9878
fluorometholone-acetate	CID240767
fluoromethylcholine	CID57466929
fluoxetine	CID3386
fluoxymesterone	CID6446
flupentixol	CID5281881
fluphenazine	CID3372
flurbiprofen-(+/-)	CID3394
flurbiprofen-(S)-(+)	CID3394
flurothyl	CID9528
fluroxene	CID9844
fluspirilene	CID3396
flutamide	CID3397
fluticasone-propionate	CID444036
flutrimazole	CID3401
fluvastatin	CID446155
fluvoxamine	CID5324346
fmoc-l-leucine	CID1549133
folic-acid	CID6037
fomepizole	CID3406
fomocaine	CID71693
foretinib	CID42642645
formestane	CID11273
formononetin	CID5280378
formoterol	CID3083544
forodesine	CID135409409
foropafant	CID119368
forskolin	CID47936
fosamprenavir	CID131536
fosaprepitant-dimeglumine	CID135413537
fosbretabulin	CID5351387
foscarnet	CID3415
fosfomycin	CID446987
fosfosal	CID3418
fosinopril	CID55891
fosphenytoin	CID56339
fostamatinib	CID11671467
frentizole	CID33334
frovatriptan	CID77992
fruquintinib	CID44480399
ftorafur	CID5386
fudosteine	CID36689154
fulvestrant	CID104741
furaltadone	CID9553856
furazolidone	CID5323714
furosemide	CID3440
fursultiamine	CID3002119
fusidic-acid	CID3000226
gabapentin	CID3446
gabapentin-enacarbil	CID9883933
gabazine	CID107896
gabexate	CID3447
gaboxadol	CID3448
gadobutrol	CID86767262
gadodiamide	CHEMBL1200346
gadoterate-meglumine	CHEMBL2219415
gadoteridol	CHEMBL1200593
galantamine	CID9651
galeterone	CID11188409
gallamine-triethiodide	CID6172
gallic-acid	CID370
gallopamil	CID1234
gambogic-acid	CID9852185
gamma-aminobutyric-acid	CID6992099
gamma-linolenic-acid	CID5280581
ganaxolone	CID6918305
ganciclovir	CID135398740
ganetespib	CID135564985
ganglioside-gm1	CID71306339
garenoxacin	CID40461170
gastrodin	CID115067
gatifloxacin	CID5379
gavestinel	CID6450546
gedunin	CID12004512
gefitinib	CID123631
gemcadiol	CID37147
gemcitabine	CID60750
gemfibrozil	CID3463
gemifloxacin	CID9571107
genipin	CID442424
geniposide	CID107848
geniposidic-acid	CID443354
genistein	CID5280961
gentiopicrin	CID88708
genz-644282	CID10294813
gepefrine	CID219105
gestodene	CID3033968
gestrinone	CID27812
gidazepam	CID121919
gilteritinib	CID49803313
gimeracil	CID54679224
ginkgolide-a	CID9909368
ginkgolide-b	CID6324617
ginsenoside-rd	CID11679800
ginsenoside-rg3	CID12901617
givinostat	CID9804992
glafenine	CID3474
glasdegib	CID25166913
gliclazide	CID3475
glimepiride	CID3476
glipizide	CID3478
gliquidone	CID91610
glucosamine	CID439213
glutamine-(l)	CID6992086
glutathione	CID124886
gly-gln	CID123913
glyburide	CID3488
glycerol-monolaurate	CID14871
glycitein	CID5317750
glycopyrrolate	CID11693
go-6983	CID3499
golgicide-a	CID25113626
golvatinib	CID16118392
gonadorelin	CID638793
goserelin-acetate	CID16052011
gossypol	CID3503
gramine	CID6890
granisetron	CID5284566
grapiprant	CID11677589
grazoprevir	CID44603531
griseofulvin	CID441140
guacetisal	CID68749
guaifenesin	CID3516
guanadrel	CID38521
guanethidine	CID3518
guanfacine	CID3519
guanidine	CID3520
guanosine	CID135398635
guvacine	CID3532
halcinonide	CID443943
halobetasol-propionate	CID6918178
halofantrine	CID37393
halofuginone	CID400772
halopemide	CID65490
haloperidol	CID3559
haloperidol-decanoate	CID52919
haloprogin	CID3561
halothane	CID3562
harmane	CID5281404
harringtonine	CID276389
hematoxylin	CID442514
heptaminol	CID3590
hesperadin	CID135421442
hesperetin	CID72281
hesperidin	CID10621
hexachlorophene	CID3598
hexamethonium	CID3604
hexamethylenebisacetamide	CID3616
hexaminolevulinate	CID6433083
hexestrol	CID3606
hexoprenaline	CID3609
hexylcaine	CID10770
hexylresorcinol	CID3610
histamine	CID774
homatropine	CID5282593
homatropine-methylbromide	CID10429215
homochlorcyclizine	CID3627
homoharringtonine	CID285033
homosalate	CID8362
honokiol	CID72303
hordenine	CID68313
huperzine-a	CID1253
hycanthone	CID3634
hydralazine	CID3637
hydrastinine	CID3638
hydrochlorothiazide	CID3639
hydrocortisone	CID5754
hydrocortisone-acetate	CID5744
hydrocortisone-butyrate	CID26133
hydrocortisone-hemisuccinate	CID16623
hydrocortisone-phosphate	CID441406
hydrocortisone-valerate	CID5282494
hydroflumethiazide	CID3647
hydroquinidine	CID91503
hydroxyamphetamine	CID3651
hydroxychloroquine	CID3652
hydroxyfasudil	CID3064778
hydroxyprogesterone	CID6238
hydroxystilbamidine	CID5284571
hydroxytoluic-acid	CID6738
hydroxyurea	CID3657
hydroxyzine	CID3658
hygromycin-b	CID25245467
hymecromone	CID5280567
hyodeoxycholic-acid	CID5283820
hyoscyamine	CID154417
hypericin	CID3663
hyperin	CID5281643
hypoestoxide	CID102032439
hypoxanthine	CID790
ibandronate	CID60852
ibrolipim	CID131601
ibrutinib	CID24821094
ibudilast	CID3671
ibuprofen	CID3672
ibuprofen-(s)	CID3672
ibuprofen-piconol	CID3673
ibuproxam	CID68704
ibutamoren	CID178024
ibutilide	CID60753
icariin	CID5318997
icaritin	CID5318980
icatibant-acetate	CID6918172
icomucret	CID5280724
icosapent	CID446284
icotinib	CID22024915
idalopirdine	CID21071390
idarubicin	CID42890
idasanutlin	CID53358942
idazoxan	CID54459
idebenone	CID3686
idelalisib	CID11625818
idoxuridine	CID5905
idronoxil	CID219100
ifenprodil	CID3689
ifosfamide	CID3690
igmesine	CID6438340
iguratimod	CID124246
ilepcimide	CID641115
ilomastat	CID132519
iloperidone	CID71360
imatinib	CID5291
imetit	CID3692
imexon	CID68791
imidacloprid	CID135527764
imidafenacin	CID6433090
imidapril	CID40466903
imiloxan	CID133621
imipramine	CID3696
imiquimod	CID57469
immepip	CID3035842
indacaterol	CID6918554
indapamide	CID3702
indatraline	CID126280
indibulin	CID2929
indinavir	CID5362440
indiplon	CID6450813
indirubin	CID10177
indirubin-3-monoxime	CID3707
indisulam	CID216468
indium(iii)-isopropoxide	CID5359967
indobufen	CID107641
indocyanine-green	CID5282413
indole-3-carbinol	CID3712
indomethacin	CID3715
indoprofen	CID3718
indoramin	CID33625
indoximod	CID405012
ingenol-mebutate	CID6918670
inimur	CID6433427
iniparib	CID9796068
inosine	CID135398641
inositol	CID892
inositol-hexanicotinate	CID3720
iobenguane	CID60860
iocetamic-acid	CID27648
iodipamide	CID3739
iodixanol	CID3724
iodoantipyrine	CID8522
iododexetimide	CID11755220
iodophenpropit	CID3035746
iodoquinol	CID3728
iohexol	CID3730
iopamidol	CID65492
iopodic-acid	CHEMBL1201243
ioversol	CID3741
ioxaglic-acid	CID3742
ioxilan	CID3743
ipidacrine	CID604519
ipratropium	CID657309
ipriflavone	CID3747
iproniazid	CID3748
ipsapirone	CID56971
irbesartan	CID3749
irinotecan	CID60838
irosustat	CID5287541
irsogladine	CID3752
isamoltane	CID127403
isavuconazole	CID6918485
isaxonine	CID71169
isbufylline	CID65681
isepamicin	CID3037209
isobutamben	CID7176
isobutyramide	CID68424
isoconazole	CID3760
isodibut	CID145949
isoetharine	CID3762
isofloxythepin	CID115193
isoflupredone-acetate	CID224246
isoflurane	CID3763
isoguvacine	CID3765
isoleucine	CID7043901
isoliquiritigenin	CID638278
isometheptene-mucate	CID15605556
isoniazid	CID3767
isoprenaline	CID3779
isopropamide-iodide	CID6284
isopropyl-myristate	CID8042
isopropyl-palmitate	CID8907
isosorbide-mononitrate	CID27661
isosteviol	CID99514
isovaleramide	CID10930
isoxepac	CID41448
isoxicam	CID54677972
isoxsuprine	CID3783
ispinesib	CID6851740
isradipine	CID3784
istaroxime	CID9841834
istradefylline	CID5311037
itacitinib	CID53380437
itopride	CID3792
itraconazole	CID3793
ivabradine	CID132999
ivacaftor	CID16220172
ivermectin	CID6321424
ixabepilone	CID6445540
ixazomib	CID25183872
ixazomib-citrate	CID56844015
josamycin	CID5282165
k-strophanthidin	CID6185
kaempferol	CID5280863
kainic-acid	CID10255
kakonein	CID5281807
kenpaullone	CID3820
ketanserin	CID3822
ketoconazole	CID456201
ketoprofen	CID3825
ketorolac	CID3826
ketotifen	CID3827
khellin	CID3828
ki16198	CID9913405
kifunensine	CID130611
kinetin	CID3830
ku-0063794	CID16736978
kynurenic-acid	CID3845
labetalol	CID3869
lacidipine	CID5311217
lacitol	CID157355
lacosamide	CID219078
lactulose	CID11333
lafutidine	CID5282136
lamivudine	CID60825
lamotrigine	CID3878
lanatoside-c	CID656630
landiolol	CID114905
lanoconazole	CID3002820
lansoprazole	CID3883
lapatinib	CID208908
laquinimod	CID54677946
laropiprant	CID9867642
lasalocid	CID5360807
latanoprost	CID5311221
latrepirdine	CID197033
laurocapram	CID42981
lazabemide	CID71307
ledipasvir	CID67505836
leflunomide	CID3899
lemborexant	CID56944144
lenalidomide	CID216326
lenvatinib	CID9823820
lercanidipine	CID65866
lerisetron	CID65997
lersivirine	CID16739244
lesinurad	CID53465279
lestaurtinib	CID126565
leteprinim	CID135409548
letermovir	CID45138674
letosteine	CID68707
letrozole	CID3902
leucovorin	CID135403648
leuprolide	CID657181
levalbuterol	CID123600
levallorphan	CID5359371
levamisole	CID26879
levetiracetam	CID5284583
levo-phencynonate	CID29921324
levobunolol	CID39468
levobunolol-(+)	CID39468
levobunolol-(+/-)	CID39468
levocabastine	CHEMBL1615438
levocarnitine	CID10917
levocetirizine	CID1549000
levodopa	CID6047
levodropropizine	CID65859
levofloxacin	CID6956357
levomepromazine	CID72287
levomequitazine	CID6992284
levonorgestrel	CID13109
levosimendan	CID3033825
levosulpiride	CID688272
levothyroxine	CID5819
licarbazepine	CID114709
licochalcone-a	CID5318998
lidamidine	CID47510
lidocaine	CID3676
lidoflazine	CID3926
limonin	CID179651
linagliptin	CID10096344
linalool	CID6549
lincomycin	CID3000540
linezolid	CID441401
linifanib	CID11485656
linopirdine	CID3932
linsidomine	CID5219
linsitinib	CID11640390
liothyronine	CID7048703
liothyronine-(isomer)	CID7048703
liranaftate	CID3936
lirimilast	CID6433118
lisadimate	CID8692
lisinopril	CID5362118
lisofylline	CID501254
lisuride	CID28864
lithium-citrate	CID2724118
lithocholic-acid	CID9903
litronesib	CID25167017
lixivaptan	CID172997
lobendazole	CID22752
lobenzarit	CID3946
lodoxamide	CID44564
lofemizole	CID71967
lofexidine	CID30668
lomefloxacin	CID3948
lomeguatrib	CID3025944
lomerizine	CID3949
lomitapide	CID9853053
lonafarnib	CID148195
lonidamine	CID39562
loperamide	CID3955
lopinavir	CID92727
loratadine	CID3957
lorazepam	CID3958
lorcaserin	CID11658860
loreclezole	CID3034012
lorediplon	CID12004146
lorglumide	CID3960
lorlatinib	CID71731823
lornoxicam	CID54690031
losartan	CID3961
losmapimod	CID11552706
loteprednol	CID9865442
lovastatin	CID53232
loxapine	CID3964
loxoprofen	CID3965
lubiprostone	CID157920
lucitanib	CID25031915
lufenuron	CID71777
luliconazole	CID3003141
lumacaftor	CID16678941
lumiracoxib	CID151166
lupanine	CID91471
lurasidone	CID213046
luteolin	CID5280445
lycopene	CID446925
m-3M3FBS	CID761523
m-Chlorophenylbiguanide	CID1354
mabuprofen	CID71261
mabuterol	CID3995
macitentan	CID16004692
mafenide	CID3998
magnolol	CID72300
malic-acid	CID525
malotilate	CID4006
manidipine	CID4008
mannitol-D	CID91210263
maprotiline	CID4011
maraviroc	CID3002977
marbofloxacin	CID1616426
maribavir	CID471161
marimastat	CID119031
maropitant	CID204108
masitinib	CID10074640
masoprocol	CID71398
matrine	CID91466
mavoglurant	CID9926832
maxacalcitol	CID6398761
mazindol	CID4020
mdivi-1	CID3825829
mebendazole	CID4030
mebeverine	CID4031
mebhydrolin	CID22530
mebicar	CID122282
mebrofenin	CID54158
mecamylamine	CID4032
mecarbinate	CID616236
mechlorethamine	CID4033
meclizine	CID4034
meclocycline-sulfosalicylate	CHEMBL261772
meclofenamic-acid	CID4037
meclofenoxate	CID4039
medetomidine	CID68602
medorinone	CID5362132
medronic-acid	CID16124
medroxyprogesterone	CID10631
medroxyprogesterone-acetate	CID6279
medrysone	CID247839
mefenamic-acid	CID4044
mefexamide	CID4045
mefloquine	CID4046
megestrol-acetate	CID11683
meglitinide	CID41214
meglumine	CID8567
meisoindigo	CID126274
melatonin	CID896
melengestrol-acetate	CID250948
melevodopa	CID23497
meloxicam	CID54677470
melperone	CID15387
melphalan	CID460612
meluadrine	CID3045414
memantine	CID4054
menadione	CID4055
menadione-bisulfite	CID23677974
menbutone	CID71818
mepacrine	CID237
meparfylon	CID1384046
mepazine	CID6075
mepenzolate	CID4057
mephenesin	CID4059
mephentermine	CID3677
mephenytoin	CID4060
mepiroxol	CID71668
mepivacaine	CID4062
meprobamate	CID4064
meprylcaine	CID4065
meptazinol	CID41049
mepyramine	CID4992
mequinol	CID9015
merbarone	CID4990817
merbromin	CHEMBL3833381
mercaptopurine	CID667490
mericitabine	CID16122663
merimepodib	CID153241
mesalazine	CID4075
mesna	CID23662354
mesoridazine	CID4078
mestinon	CID7550
mestranol	CID6291
mesulergine	CID68848
metacetamol	CID12124
metacresol	CID342
metamizole	CID522325
metaproterenol	CID4086
metaraminol	CID5906
metaxalone	CID15459
metazosin	CID93514
metenkephalin	CID73265283
metergoline	CID28693
metformin	CID4091
methacholine	CID1993
methacycline	CHEMBL249837
methapyrilene	CID4098
metharbital	CID4099
methazolamide	CID4100
methenamine	CID4101
methiazole	CID6604471
methicillin	CID6087
methimazole	CID1349907
methocarbamol	CID4107
methoprene-(s)	CID1711973
methotrexate	CID126941
methoxamine	CID6082
methoxsalen	CID4114
methoxyamine	CID4113
methoxyflurane	CID4116
methoxyphenamine	CID4117
methscopolamine	CID71183
methsuximide	CID6476
methyclothiazide	CID4121
methylatropine-nitrate	CHEMBL516476
methyldopa	CID6919173
methylergometrine	CID8226
methyllycaconitine	CID5288811
methylnaltrexone	CID5361918
methylphenidate	CID4158
methylprednisolone	CID6741
methylprednisolone-aceponate	CID63019
methylprednisolone-sodium-succinate	CID23680530
methylthiouracil	CID667493
meticrane	CID4165
metipranolol	CID31477
metirosine	CID441350
metitepine	CID4106
metixene	CID4167
metoclopramide	CID4168
metocurine	CID21233
metolazone	CID4170
metoprolol	CID4171
metoxibutropate	CID4464271
metrizamide	CID443944
metrizoic-acid	CID2528
metronidazole	CID4173
metyrapone	CID4174
mevastatin	CID64715
mexeneone	CID71645
mexiletine	CID4178
mezlocillin	CID656511
mianserin	CID4184
mibampator	CID9889366
mibefradil	CID60663
miconazole	CID4189
midafotel	CID6435801
midodrine	CID4195
midostaurin	CID9829523
mifepristone	CID55245
mifobate	CID60910
miglitol	CID441314
miglustat	CID51634
milacemide	CID53569
milnacipran	CID65833
milrinone	CID4197
miltefosine	CID3599
minaprine	CID4199
minocycline	CHEMBL1434
minoxidil	CID4201
miocamycin	CID5282188
mirabegron	CID9865528
mirodenafil	CID135497803
mirtazapine	CID4205
misonidazole	CID26105
misoprostol	CID5282381
mitiglinide	CID121891
mitoflaxone	CID55748
mitomycin-c	CID5746
mitoxantrone	CID4212
mizolastine	CID65906
mizoribine	CID104762
mocetinostat	CID9865515
moclobemide	CID4235
modaline	CID17860
moexipril	CID40466988
mofezolac	CID4237
moguisteine	CID65935
molidustat	CID59603622
molindone	CID23897
molsidomine	CID4238
mometasone-furoate	CID441336
monastrol	CID2987927
monensin	CID441145
monobenzone	CID7638
monoctanoin	CID3033877
monostearin	CID24699
montelukast	CID5281040
moprolol	CID71213
moracizine	CID34633
morin	CID5281670
morinidazole	CID11644726
morniflumate	CID72106
moroxydine	CID135742562
mosapride	CID119584
motesanib	CID11667893
moxaverine	CID70882
moxidectin	CID9832912
moxifloxacin	CID152946
moxisylyte	CID4260
moxonidine	CID4810
mozavaptan	CID119369
mubritinib	CID6444692
mupirocin	CID446596
muscimol	CID4266
mycophenolate-mofetil	CID5281078
mycophenolic-acid	CID446541
myricetin	CID5281672
myricitrin	CID5281673
nTZDpa	CID9954280
nabumetone	CID4409
nadide	CID5288979
nadifloxacin	CID4410
nafadotride	CID3408722
nafamostat	CID4413
nafcillin	CID8982
naftidrofuryl	CID4417
naftifine	CID47641
naftopidil	CID4418
nalbuphine	CID5311304
nalfurafine	CID6445230
nalidixic-acid	CID4421
nalmefene	CID5284594
naloxegol	CID56959087
naloxone	CID5284596
naloxone-benzoylhydrazone	CID9601084
naltrexone	CID5360515
naltriben	CID5486827
naltrindole	CID5497186
nanchangmycin	CID86278937
nandrolone	CID9904
napabucasin	CID10331844
naphazoline	CID4436
naproxen	CID156391
narasin	CID65452
naratriptan	CID4440
naringenin	CID932
naringin	CID442428
narlaprevir	CID11857239
nastorazepide	CID9872609
natamycin	CID5284447
nateglinide	CID5311309
navarixin	CID9865554
navitoclax	CID24978538
nebivolol	CID71301
nebracetam	CID65926
necrostatin-1	CID2828334
nedaplatin	CID78357779
nedocromil	CID50294
nefazodone	CID4449
nefiracetam	CID71157
nefopam	CID4450
nelarabine	CID3011155
nelfinavir	CID64143
nemonapride	CID156333
nemorubicin	CID65907
neo-gilurytmal	CID76959817
neohesperidin	CID442439
neohesperidin-dihydrochalcone	CID30231
neostigmine	CID4456
nepafenac	CID151075
nepicastat	CID9796181
neratinib	CID9915743
nerbacadol	CID65865
neridronic-acid	CID71237
nesbuvir	CID11561383
netilmicin	CID441306
netupitant	CID6451149
nevirapine	CID4463
nexturastat-a	CID71462653
niacin	CID938
nialamide	CID4472
nibentan	CID177905
nicaraven	CID71234
nicardipine	CID4474
nicergoline	CID34040
niceritrol	CID4476
niclosamide	CID4477
nicorandil	CID47528
nicotinamide	CID936
nicotine	CID89594
nicotinyl-alcohol-tartrate	CID93578
nifekalant	CID4486
nifenalol	CID6317
nifenazone	CID4487
niflumic-acid	CID4488
nifuroxazide	CID5337997
nifursol	CID9570327
nifurtimox	CID6842999
niguldipine-(S)-(+)	CID60602
nikethamide	CID5497
nilotinib	CID644241
nilutamide	CID4493
nilvadipine	CID4494
nimesulide	CID4495
nimodipine	CID4497
nimorazole	CID23009
nintedanib	CID135423438
niraparib	CID24958200
niridazole	CID6093
nisoxetine	CID4500
nitarsone	CID66826
nitazoxanide	CID41684
nitenpyram	CID3034287
nithiamide	CID8798
nitisinone	CID115355
nitrendipine	CID4507
nitrofurantoin	CID6604200
nitrofurazone	CID5447130
nitromide	CID4511
nizatidine	CID3033637
nizofenone	CID4514
nobiletin	CID72344
nocodazole	CID4122
nolatrexed	CID135400184
nomegestrol-acetate	CID91668
nomifensine	CID4528
nonivamide	CID2998
nonoxynol-9	CID72385
norcyclobenzaprine	CID9918
norelgestromin	CID62930
norepinephrine	CID439260
norethindrone	CID6230
norethindrone-acetate	CID5832
noretynodrel	CID6231
norfloxacin	CID4539
norgestrel	CID13109
nornicotine	CID412
nortriptyline	CID4543
noscapine	CID275196
novobiocin	CID54675769
nuclomedone	CID128798
nutlin-3	CID216345
o-3M3FBS	CID770820
obatoclax	CID16681698
obidoxime	CID8251
ocinaplon	CID216456
octenidine	CID51167
octinoxate	CID5355130
octisalate	CID8364
octocrylene	CID22571
octopamine	CID4581
octreotide	CID448601
odanacatib	CID10152654
ofloxacin	CID4583
oglemilast	CID11387409
olanzapine	CID135398745
olaparib	CID23725625
oleamide	CID5283387
oleanolic-acid	CID151202
oleoylethanolamide	CID5283454
oleuropein	CID5281544
oligomycin-a	CID134750119
olmesartan	CID158781
olmesartan-medoxomil	CID130881
olmutinib	CID54758501
olomoucine	CID4592
olopatadine	CID5281071
olprinone	CID4593
olsalazine	CID22419
oltipraz	CID47318
olvanil	CID5311093
omarigliptin	CID46209133
omecamtiv-mecarbil	CID11689883
omeprazole	CID4594
omeprazole-magnesium	CID5311083
oncrasin-1	CID872445
ondansetron	CID4595
opicapone	CID135565903
opipramol	CID9417
oprozomib	CID25067547
orantinib	CID5329099
orbifloxacin	CID60605
org-26576	CID13584912
org-27569	CID44828492
oridonin	CID5321010
oritavancin	CID101991076
orlistat	CID3034010
ornidazole	CID28061
ornithine	CID88747248
orotic-acid	CID967
orphenadrine	CID4601
orteronel	CID9796590
oseltamivir-carboxylate	CID66545297
oseltamivir-phosphate	CID78000
osimertinib	CID71496458
ospemifene	CID3036505
ostarine	CID11326715
osthol	CID10228
otamixaban	CID5496659
otenzepad	CID107867
otilonium	CID72093
ouabain	CID439501
oxacillin	CID6196
oxaliplatin	CHEMBL414804
oxaloacetate	CID970
oxandrolone	CID5878
oxaprozin	CID4614
oxatomide	CID4615
oxazepam	CID4616
oxcarbazepine	CID34312
oxethazaine	CID4621
oxfendazole	CID40854
oxibendazole	CID4622
oxiconazole	CID5353853
oxiniacic-acid	CID16976
oxiperomide	CID68634
oxiracetam	CID4626
oxolinic-acid	CID4628
oxotremorine-m	CID4629
oxprenolol	CID4631
oxybenzone	CID4632
oxybuprocaine	CID4633
oxybutynin	CID4634
oxyclozanide	CID16779
oxyfedrine	CID5489013
oxymatrine	CID114850
oxymetazoline	CID4636
oxyphencyclimine	CID4642
oxyphenonium	CID5749
oxypurinol	CID135398752
oxyquinoline	CID1923
oxytocin	CID439302
ozagrel	CID5282440
ozanimod	CID52938427
ozolinone	CID6436036
paclitaxel	CID36314
pacritinib	CID46216796
paeonol	CID11092
pafuramidine	CID5480200
palbociclib	CID5330286
palifosfamide	CID100427
paliperidone	CID115237
palmatine-chloride	CID73442
palmitoylcarnitine	CID461
palmitoylethanolamide	CID4671
palomid-529	CID11998575
palonosetron	CID6337614
palosuran	CID10173280
palovarotene	CID10295295
pamidronate	CHEBI:7903
pancuronium	CID441289
panobinostat	CID6918837
pantethine	CID452306
pantoprazole	CID4679
pantothenic-acid	CID6613
papaverine	CID4680
para-toluenesulfonamide	CID6269
paracetamol	CID1983
parachlorophenol	CID4684
paraxanthine	CID4687
parbendazole	CID26596
pardoprunox	CID6918525
parecoxib	CID119828
pargyline	CID4688
paricalcitol	CID5281104
paritaprevir	CID45110509
paromomycin	CID165580
paroxetine	CID43815
paroxypropione	CID6271
parthenolide	CID7251185
parthenolide-(-)	CID6473881
parthenolide-(alternate-stereo)	CID6473881
pasiniazid	CID16367
pasireotide	CID9941444
pazopanib	CID10113978
pazufloxacin	CID40466872
peficitinib	CID57928403
pefloxacin	CID6919009
pelanserin	CID65435
pelitinib	CID6445562
pemetrexed	CID135410875
pemirolast	CID57697
penbutolol	CID37464
penciclovir	CID135398748
penfluridol	CID33630
penicillamine-(D)	CID5852
penicillin-v-potassium	CID23676814
pentacosanoic-acid	CID10468
pentagastrin	CID9853654
pentamidine	CID4735
pentetic-acid	CID3053
pentobarbital	CID4737
pentolinium	CID5850
pentostatin	CID439693
pentoxifylline	CID4740
pentylenetetrazol	CID5917
pepstatin	CID5478883
peramivir	CID154234
perampanel	CID9924495
peretinoin	CID6437836
perfluamine	CID67645
perflubron	CID9873
pergolide	CID47811
perhexiline	CID4746
perifosine	CID148177
perillyl-alcohol	CID10819
perindopril	CID40466996
perospirone	CID115368
perphenazine	CID4748
peruvoside	CID12314120
perzinfotel	CID6918236
pevonedistat	CID16720766
pexidartinib	CID25151352
phenacaine	CID7588
phenacemide	CID4753
phenacetin	CID4754
phenazone	CID2206
phenazopyridine	CID4756
phenelzine	CID3675
phenformin	CID8249
phenindione	CID4760
pheniramine	CID4761
phenolphthalein	CID4764
phenolsulfonphthalein	CID4766
phenothiazine	CID7108
phenothrin	CID4767
phenprobamate	CID4770
phenprocoumon	CID54680692
phenserine	CID192706
phensuximide	CID6839
phentermine	CID4771
phentolamine	CID5775
phenyl-aminosalicylate	CID8609
phenylacetylglutamine	CID92258
phenylbutazone	CID4781
phenylbutyrate	CID10482134
phenylephrine	CID6041
phenylmercuric-acetate	CHEMBL1333953
phenylpiracetam	CID132441
phenytoin	CID1775
phloretin	CID4788
phlorizin	CID6072
phloroglucin	CID359
phosphatidylcholine	CID25223701
phthalylsulfacetamide	CID8574
phthalylsulfathiazole	CID4806
physostigmine	CID5983
phytosphingosine	CID122121
pibenzimol	CID2392
piboserod	CID177336
picartamide	CID3034005
piceatannol	CID667639
piclamilast	CID154575
picolamine	CID31018
picolinic-acid	CID4815590
piconol	CID11474
picotamide	CID4814
picrotin	CID442291
picrotoxinin	CID442292
pidolic-acid	CID7405
pidotimod	CID65944
pifithrin-mu	CID327653
pikamilone	CID60608
piketoprofen	CID68801
pilaralisib	CID56599306
pilocarpine	CID5910
pilsicainide	CID4820
pimavanserin	CID10071196
pimecrolimus	CID6509979
pimethixene	CID4822
pimobendan	CID4823
pimonidazole	CID50981
pimozide	CID16362
pinacidil	CID4826
pinaverium	CID40704
pindolol	CID4828
pinitol	CID164619
pinocembrin	CID68071
pioglitazone	CID4829
pipamperone	CID4830
pipecuronium	CID50192
pipemidic-acid	CID4831
pipenzolate	CID4832
piperacetazine	CID19675
piperacillin	CID43672
piperaquine-phosphate	CID174478
piperazine	CID4837
piperazinedione	CID72761
piperidolate	CID4839
piperine	CID638024
piperonyl-butoxide	CID5794
pipotiazine-palmitate	CID37767
piracetam	CID4843
pirenoxine	CID4846
pirenperone	CID4847
pirenzepine	CID4848
