isobutyramide	CHEMBL352219
ginkgolide-a	CHEMBL465161
LY2109761	CHEMBL260015
bremelanotide	CHEMBL2070241
SKF-38393	CHEMBL286080
LY2874455	CHEMBL3545264
bromperidol	CHEMBL28218
oleuropein	CHEMBL1911053
fenretinide	CHEMBL7301
abiraterone	CHEMBL254328
umeclidinium	CHEMBL1187833
fluvoxamine	CHEMBL814
givinostat	CHEMBL1213492
hexaminolevulinate	CHEMBL1201784
TCS-359	CHEMBL210833
spiroxatrine	CHEMBL300555
SNAP-94847	CHEMBL242004
amineptine	CHEMBL418995
SGX523	CHEMBL1236107
desoxycorticosterone-pivalate	CHEMBL1200592
tenofovir-disoproxil	CHEMBL1538
BRL-50481	CHEMBL484928
fluocinolone-acetonide	CHEMBL989
etidronic-acid	CHEMBL871
dazmegrel	CHEMBL283656
ouabain	CHEMBL222863
propentofylline	CHEMBL1079905
SNX-2112	CHEMBL560895
methscopolamine	CHEMBL1201268
methscopolamine	CHEMBL376897
SB-239063	CHEMBL97162
erythrosine	CHEMBL1332616
phenindione	CHEMBL711
mizolastine	CHEMBL94454
loxistatin-acid	CHEMBL418661
adarotene	CHEMBL442016
RX-821002	CHEMBL10332
telcagepant	CHEMBL236593
venlafaxine	CHEMBL637
afloqualone	CHEMBL2105918
trichloroethylene	CHEMBL279816
CUDC-907	CHEMBL3622533
dehydroacetic-acid	CHEMBL284127
olmutinib	CHEMBL3786343
amprenavir	CHEMBL116
astragaloside-a	CHEMBL3121562
simeprevir	CHEMBL501849
mubritinib	CHEMBL1614707
AC-264613	CHEMBL494502
relcovaptan	CHEMBL419667
PCA-4248	CHEMBL1395565
OSI-420	CHEMBL3186743
melevodopa	CHEMBL1328898
muscimol	CHEMBL273481
L-741742	CHEMBL444309
proflavine-hemisulfate	CHEMBL465704
NPY-5RA972	CHEMBL325226
ofloxacin	CHEMBL4
salvinorin-a	CHEMBL445332
molidustat	CHEMBL3646118
PACOCF3	CHEMBL99344
mepyramine	CHEMBL511
fmoc-l-leucine	CHEMBL149394
epinastine	CHEMBL1106
aclidinium	CHEMBL1194325
lonafarnib	CHEMBL298734
bitopertin	CHEMBL1171829
bitopertin	CHEMBL1169880
carbachol	CHEMBL965
siponimod	CHEMBL2336071
pargyline	CHEMBL673
dixanthogen	CHEMBL331743
oxiniacic-acid	CHEMBL1591725
tipranavir	CHEMBL222559
flecainide	CHEMBL652
tolperisone	CHEMBL1076211
ethoxzolamide	CHEMBL18
betulinic-acid	CHEMBL269277
meprylcaine	CHEMBL127810
alibendol	CHEMBL2105999
OSI-930	CHEMBL1614710
torcetrapib	CHEMBL479527
PRT062607	CHEMBL2177736
suvorexant	CHEMBL1083659
L-798,106	CHEMBL218071
physostigmine	CHEMBL94
palbociclib	CHEMBL189963
oxyquinoline	CHEMBL310555
dibenzepine	CHEMBL99486
enalapril	CHEMBL578
mifobate	CHEMBL284768
ZCL-278	CHEMBL4303380
bemesetron	CHEMBL2107804
sotagliflozin	CHEMBL3039507
glasdegib	CHEMBL2043437
pipecuronium	CHEMBL1201206
epalrestat	CHEMBL56337
silodosin	CHEMBL24778
guanidine	CHEMBL821
2-ethyl-1,3-hexanediol	CHEMBL1451179
amiprilose	CHEMBL1316321
azithromycin	CHEMBL529
valaciclovir	CHEMBL1349
piperacillin	CHEMBL702
ZD-7288	CHEMBL2052019
methyldopa	CHEMBL459
balaglitazone	CHEMBL2103991
sacubitril	CHEMBL3137301
donepezil	CHEMBL502
hypericin	CHEMBL286494
YO-01027	CHEMBL4303400
amrinone	CHEMBL12856
tazobactam	CHEMBL404
medroxyprogesterone	CHEMBL717
GR-103691	CHEMBL294747
levosimendan	CHEMBL2051955
isoxicam	CHEMBL53292
PF-02545920	CHEMBL562318
carmoxirole	CHEMBL70159
nicergoline	CHEMBL1372950
tremorine	CHEMBL1483237
chlorthalidone	CHEMBL1055
NNC-55-0396	CHEMBL4227475
omecamtiv-mecarbil	CHEMBL1800955
mafenide	CHEMBL419
zopolrestat	CHEMBL10372
troxipide	CHEMBL1566956
YM-58483	CHEMBL262766
LY2811376	CHEMBL2333941
estradiol-benzoate	CHEMBL282575
atropine	CHEMBL517712
NVP-TAE226	CHEMBL458997
LOXO-101	CHEMBL3889654
ilomastat	CHEMBL19611
Y-134	CHEMBL178334
saquinavir	CHEMBL114
lercanidipine	CHEMBL250270
diloxanide	CHEMBL2103768
BMS-387032	CHEMBL296468
azilsartan-medoxomil	CHEMBL2028661
GSK-0660	CHEMBL592652
8-bromo-cAMP	CHEMBL1626177
BRL-52537	CHEMBL71294
BRL-52537	CHEMBL128444
propafenone	CHEMBL631
detomidine	CHEMBL2110829
perifosine	CHEMBL372764
3,3'-dichlorobenzaldazine	CHEMBL3334990
hyperin	CHEMBL33027
hyperin	CHEMBL251254
hyperin	CHEMBL2337335
hyperin	CHEMBL250450
noscapine	CHEMBL364713
ponesimod	CHEMBL1096146
escitalopram	CHEMBL1508
cinoxate	CHEMBL2104045
guanadrel	CHEMBL1037
milnacipran	CHEMBL259209
alpelisib	CHEMBL2396661
GW-583340	CHEMBL1356199
NE-100	CHEMBL190883
MDL-72832	CHEMBL12152
carmustine	CHEMBL513
ixabepilone	CHEMBL1201752
vicriviroc	CHEMBL82301
foretinib	CHEMBL1230609
pyridoxal	CHEMBL102970
quercetin	CHEMBL50
fidaxomicin	CHEMBL1255800
phenytoin	CHEMBL16
KPT-185	CHEMBL3898452
methsuximide	CHEMBL697
sitafloxacin	CHEMBL108821
torin-2	CHEMBL1765602
GR-135531	CHEMBL504585
MEK162	CHEMBL3187723
levodopa	CHEMBL1009
astemizole	CHEMBL296419
butofilolol	CHEMBL157443
10-DEBC	CHEMBL1398474
naloxegol	CHEMBL2219418
moexipril	CHEMBL1165
CGP-71683	CHEMBL1836102
CGP-13501	CHEMBL1256746
moracizine	CHEMBL1075
L-152804	CHEMBL1421016
cirazoline	CHEMBL13852
furazolidone	CHEMBL1103
UNC0646	CHEMBL1829304
FR-180204	CHEMBL259551
eprobemide	CHEMBL2104298
oleoylethanolamide	CHEMBL280065
SC-12267	CHEMBL197194
dipivefrine	CHEMBL1201262
methoxsalen	CHEMBL416
A205804	CHEMBL267678
serdemetan	CHEMBL2137530
rotigotine	CHEMBL1303
RU-58841	CHEMBL9337
entecavir	CHEMBL713
zolmitriptan	CHEMBL1185
L-365260	CHEMBL9387
gemfibrozil	CHEMBL457
buspirone	CHEMBL49
budipine	CHEMBL334491
cefoperazone	CHEMBL507674
epiandrosterone	CHEMBL272195
eluxadoline	CHEMBL2159122
ropinirole	CHEMBL589
2-deoxyglucose	CHEMBL2074932
cetrorelix	CHEMBL1200490
tafenoquine	CHEMBL298470
dihydroartemisinin	CHEMBL252518
apixaban	CHEMBL231779
dimethyl-fumarate	CHEMBL2107333
betamethasone	CHEMBL632
SB-525334	CHEMBL401570
aceclofenac	CHEMBL93645
tamoxifen	CHEMBL83
prazosin	CHEMBL2
indirubin-3-monoxime	CHEMBL126077
imiquimod	CHEMBL1282
tibolone	CHEMBL2103774
AMG458	CHEMBL460472
SDM25N	CHEMBL1324873
ostarine	CHEMBL1738889
anagrelide	CHEMBL760
XBD173	CHEMBL513922
AMN-082	CHEMBL1387826
BGT226	CHEMBL3545096
EVP-6124	CHEMBL2151572
eglumetad	CHEMBL8759
tolmetin	CHEMBL1020
KW-2449	CHEMBL1908397
proxyfan	CHEMBL19173
PSB-36	CHEMBL1316674
clotrimazole	CHEMBL104
afatinib	CHEMBL1173655
haloperidol-decanoate	CHEMBL1200986
lubiprostone	CHEMBL1201134
sapropterin	CHEMBL1201774
otilonium	CHEMBL1433361
alizapride	CHEMBL290194
meprobamate	CHEMBL979
naloxone-benzoylhydrazone	CHEMBL1256836
cefcapene-pivoxil	CHEMBL2431072
bivalirudin	CHEMBL2103749
AG-14361	CHEMBL65892
phentermine	CHEMBL1574
1-ethyl-2-pyrrolidone	CHEMBL12221
erlotinib	CHEMBL553
stanozolol	CHEMBL2079587
OMDM-2	CHEMBL1316265
biotin	CHEMBL857
tosedostat	CHEMBL2103847
SM-21	CHEMBL45951
sulbentine	CHEMBL151803
GR46611	CHEMBL344127
sclareol	CHEMBL294740
alisertib	CHEMBL483158
WZ8040	CHEMBL1643989
N6-methyladenosine	CHEMBL383144
2-[1-(4-piperonyl)piperazinyl]benzothiazole	CHEMBL24909
IDRA-21	CHEMBL77862
cinchocaine	CHEMBL1086
siramesine	CHEMBL61479
miglustat	CHEMBL1029
ceftriaxone	CHEMBL161
fenoldopam	CHEMBL588
isoflurane	CHEMBL1256
TG-100801	CHEMBL403989
avanafil	CHEMBL1963681
paroxetine	CHEMBL490
iloperidone	CHEMBL14376
NSC-4644	CHEMBL23236
forodesine	CHEMBL218291
cloxacillin	CHEMBL891
anisotropine	CHEMBL1186610
nilvadipine	CHEMBL517427
hematoxylin	CHEMBL477197
pelanserin	CHEMBL2110706
S-Nitrosoglutathione	CHEMBL63507
medronic-acid	CHEMBL180570
AT7867	CHEMBL428462
meglumine	CHEMBL1200570
acipimox	CHEMBL345714
1-hexadecanol	CHEMBL706
roxatidine-acetate	CHEMBL46102
CGM097	CHEMBL3601398
picolamine	CHEMBL1988272
BMS-599626	CHEMBL1645462
clofedanol	CHEMBL1201313
topiroxostat	CHEMBL1078685
cevimeline	CHEMBL168815
CCT137690	CHEMBL1236904
pritelivir	CHEMBL4069597
CX-5461	CHEMBL4303309
nilotinib	CHEMBL255863
vanillin	CHEMBL13883
MNITMT	CHEMBL90290
glycerol-monolaurate	CHEMBL510533
bepridil	CHEMBL1008
enzalutamide	CHEMBL1082407
tamsulosin	CHEMBL836
amonafide	CHEMBL428676
indacaterol	CHEMBL1095777
eltrombopag	CHEMBL461101
phenolsulfonphthalein	CHEMBL258921
halofantrine	CHEMBL1107
mesalazine	CHEMBL704
chrysophanic-acid	CHEMBL41092
carmofur	CHEMBL460499
sodium-salicylate	CHEMBL447868
ramatroban	CHEMBL361812
carbenoxolone	CHEMBL499915
metipranolol	CHEMBL1291
hydrocortisone-hemisuccinate	CHEMBL977
SB-334867	CHEMBL291536
BVD-523	CHEMBL3545022
LY303511	CHEMBL1363184
edrophonium	CHEMBL1104
thiram	CHEMBL120563
P276-00	CHEMBL3545283
kakonein	CHEMBL486386
favipiravir	CHEMBL221722
zidovudine	CHEMBL129
mibefradil	CHEMBL45816
oxibendazole	CHEMBL1087630
epinephrine	CHEMBL679
misonidazole	CHEMBL42161
A-33903	CHEMBL204738
A-366	CHEMBL3109630
risperidone	CHEMBL85
gatifloxacin	CHEMBL31
desipramine	CHEMBL72
sulfaguanidine	CHEMBL338802
tilmicosin	CHEMBL1908333
7-nitroindazole	CHEMBL247378
UNC1215	CHEMBL2426364
NVP-BSK805	CHEMBL1092926
ilepcimide	CHEMBL118478
GDC-0810	CHEMBL3581693
daltroban	CHEMBL71685
purvalanol-a	CHEMBL23327
fluorescein	CHEMBL4297067
fluorescein	CHEMBL177756
phenylmercuric-acetate	CHEMBL1333953
pikamilone	CHEMBL4303255
tropicamide	CHEMBL1200604
enoxolone	CHEMBL230006
AGN-194310	CHEMBL4303670
chlorindione	CHEMBL278519
sulfamethizole	CHEMBL1191
sulfafurazole	CHEMBL453
frentizole	CHEMBL128988
dinaciclib	CHEMBL2103840
nocodazole	CHEMBL9514
talnetant	CHEMBL10188
pimozide	CHEMBL1423
tetracaine	CHEMBL698
rabeprazole	CHEMBL1219
betamethasone-acetate	CHEMBL1200538
beta-naphthol	CHEMBL14126
naratriptan	CHEMBL1278
betaine	CHEMBL95889
nuclomedone	CHEMBL2106465
zilpaterol	CHEMBL2218907
baricitinib	CHEMBL2105759
KF-38789	CHEMBL246957
L-Cystine	CHEMBL590540
dipeptamin	CHEMBL3707366
eszopiclone	CHEMBL1522
2-methyl-5-hydroxytryptamine	CHEMBL266591
sulfanitran	CHEMBL493636
zaldaride	CHEMBL1474352
benznidazole	CHEMBL110
lisuride	CHEMBL157138
metacetamol	CHEMBL9419
3-methyladenine	CHEMBL292268
T-0901317	CHEMBL62136
CHIR-98014	CHEMBL3185148
azacyclonol	CHEMBL127508
TAK-285	CHEMBL1614725
sertraline	CHEMBL809
altrenogest	CHEMBL1315492
dabigatran	CHEMBL48361
hesperetin	CHEMBL399121
norethindrone	CHEMBL1162
GSK-3-inhibitor-IX	CHEMBL2178734
GSK-3-inhibitor-IX	CHEMBL355496
levosulpiride	CHEMBL267044
defactinib	CHEMBL3137331
ethylnorepinephrine	CHEMBL31159
vasopressin	CHEMBL373742
cromoglicic-acid	CHEMBL428880
VGX-1027	CHEMBL1320667
quinelorane	CHEMBL155731
flumecinol	CHEMBL2107440
melengestrol-acetate	CHEMBL1328968
sotalol	CHEMBL471
TG-100572	CHEMBL400402
acalabrutinib	CHEMBL3707348
carsalam	CHEMBL1720051
merimepodib	CHEMBL304087
imidacloprid	CHEMBL406819
fluorometholone	CHEMBL1200600
ropivacaine	CHEMBL1077896
BMS-690514	CHEMBL3545396
difluprednate	CHEMBL1201749
TMPH	CHEMBL37773
GABA-linoleamide	CHEMBL1513232
UPF-1069	CHEMBL4089840
PKI-179	CHEMBL1258517
NSC-697923	CHEMBL1698008
LY320135	CHEMBL411481
trimebutine	CHEMBL190044
PF-03758309	CHEMBL3128043
spaglumic-acid	CHEMBL2105616
tyrphostin-AG-835	CHEMBL1257116
saxagliptin	CHEMBL385517
lycopene	CHEMBL501174
piconol	CHEMBL2103981
timolol	CHEMBL499
pipemidic-acid	CHEMBL30116
AS-604850	CHEMBL2216899
phenylephrine	CHEMBL1215
aminocaproic-acid	CHEMBL1046
amoxicillin	CHEMBL1082
CTEP	CHEMBL3410223
canrenone	CHEMBL1463345
levallorphan	CHEMBL1254682
LY3023414	CHEMBL4297181
ursodiol	CHEMBL1551
tiaramide	CHEMBL274239
nifenazone	CHEMBL1413176
navarixin	CHEMBL216981
deferiprone	CHEMBL70927
sodium-gluconate	CHEMBL2068884
evans-blue	CHEMBL1015
PX-12	CHEMBL406050
adenine	CHEMBL226345
dicycloverine	CHEMBL1123
clorsulon	CHEMBL1474129
PHA-680632	CHEMBL363160
cimetidine	CHEMBL30
meclizine	CHEMBL1623
JNJ-38877605	CHEMBL2133806
AT-7519	CHEMBL445813
mupirocin	CHEMBL719
cephapirin	CHEMBL1599
QX-222	CHEMBL1354145
AH6809	CHEMBL1317823
chicago-sky-blue-6b	CHEMBL296966
lersivirine	CHEMBL571987
GW-9662	CHEMBL375270
thalidomide	CHEMBL468
propoxycaine	CHEMBL1195
enalaprilat	CHEMBL577
istradefylline	CHEMBL431770
phloretin	CHEMBL45068
ethaverine	CHEMBL1555736
adiphenine	CHEMBL353846
delanzomib	CHEMBL270515
PNU-120596	CHEMBL257591
fosamprenavir	CHEMBL1664
sulindac	CHEMBL15770
caffeic-acid	CHEMBL145
JNJ-42165279	CHEMBL4297294
homatropine-methylbromide	CHEMBL1200851
potassium-canrenoate	CHEMBL1371200
BIX-02189	CHEMBL3182395
N-benzylnaltrindole	CHEMBL375629
fenaclon	CHEMBL2106620
gimeracil	CHEMBL1730601
cyclocytidine	CHEMBL1412614
ethenzamide	CHEMBL1483877
procodazole	CHEMBL596009
cotinine	CHEMBL578211
medorinone	CHEMBL144399
5-fluorouracil	CHEMBL185
tetradecylthioacetic-acid	CHEMBL187734
lorlatinib	CHEMBL3286830
SB-415286	CHEMBL322970
cinanserin	CHEMBL18786
praziquantel	CHEMBL976
loxapine	CHEMBL831
flucytosine	CHEMBL1463
gambogic-acid	CHEMBL555017
QX-314	CHEMBL1180496
dapagliflozin	CHEMBL429910
temoporfin	CHEMBL383675
clobetasol-propionate	CHEMBL1159650
norgestrel	CHEMBL2107797
2-PMDQ	CHEMBL71492
NPPB	CHEMBL1256759
aspartame	CHEMBL171679
ivacaftor	CHEMBL2010601
lorazepam	CHEMBL580
suxibuzone	CHEMBL1414320
fosfomycin	CHEMBL1757
ORE1001	CHEMBL429844
flumethasone	CHEMBL1201392
clobazam	CHEMBL70418
tranexamic-acid	CHEMBL877
filanesib	CHEMBL2347655
cyanocobalamin	CHEMBL2110563
PFK-015	CHEMBL3105836
estramustine	CHEMBL1575
BMS-587101	CHEMBL214529
SIB-1553A	CHEMBL47850
AST-1306	CHEMBL3545244
AST-1306	CHEMBL1947204
dicoumarol	CHEMBL1466
1,5-dicaffeoylquinic-acid	CHEMBL478574
bufexamac	CHEMBL94394
iopanic-acid	CHEMBL867
triptolide	CHEMBL463763
verinurad	CHEMBL3707347
EMD-1214063	CHEMBL3402762
zoxazolamine	CHEMBL472566
elbasvir	CHEMBL3039514
clopamide	CHEMBL1361347
CC-401	CHEMBL1614713
SB-216641	CHEMBL20963
manidipine	CHEMBL1085699
pentostatin	CHEMBL1580
hygromycin-b	CHEMBL326396
mebhydrolin	CHEMBL1625607
4-PPBP	CHEMBL325238
KI-8751	CHEMBL178455
GDC-0349	CHEMBL2331680
methylergometrine	CHEMBL1201356
tetrahydropapaverine	CHEMBL160919
mitoxantrone	CHEMBL58
abiraterone-acetate	CHEMBL271227
lithium-acetoacetate	CHEMBL3891157
levonorgestrel	CHEMBL1389
piperazine	CHEMBL1412
trap-101	CHEMBL3182208
ICI-199441	CHEMBL38576
bendamustine	CHEMBL487253
GDC-0068	CHEMBL2177390
BIBR-1532	CHEMBL3186312
BIBR-1532	CHEMBL27323
sulbactam-pivoxil	CHEMBL423875
orlistat	CHEMBL175247
INCB-3284	CHEMBL1951790
INCB-3284	CHEMBL1963131
cyt387	CHEMBL1078178
dronedarone	CHEMBL184412
JNJ-7706621	CHEMBL191003
bithionol	CHEMBL290106
lopinavir	CHEMBL729
glyburide	CHEMBL472
aphidicolin	CHEMBL29711
levalbuterol	CHEMBL1002
AP26113	CHEMBL3545311
secnidazole	CHEMBL498847
dehydroepiandrosterone-sulfate	CHEMBL259898
myricitrin	CHEMBL454576
AZ-628	CHEMBL2144069
tiludronate	CHEMBL1350
SC-10	CHEMBL1397913
SD-169	CHEMBL1435541
diclazuril	CHEMBL284733
proadifen	CHEMBL282567
piretanide	CHEMBL349803
phenformin	CHEMBL170988
mericitabine	CHEMBL562967
meticrane	CHEMBL1318341
carisoprodol	CHEMBL1233
hydroxypropyl-beta-cyclodextrin	CHEMBL577294
tianeptine	CHEMBL1289110
pranlukast	CHEMBL21333
ferulic-acid	CHEMBL32749
tiracizine	CHEMBL1625260
ceritinib	CHEMBL2403108
betamethasone-valerate	CHEMBL1497
boronophenylalanine	CHEMBL125582
boronophenylalanine	CHEMBL298071
carbadox	CHEMBL13779
indiplon	CHEMBL262075
pinitol	CHEMBL493737
NPS-2143	CHEMBL180672
CI-966	CHEMBL77287
castanospermine	CHEMBL311226
fosbretabulin	CHEMBL1206232
lorglumide	CHEMBL24938
terlipressin	CHEMBL2135460
loperamide	CHEMBL841
cefdinir	CHEMBL927
dihydroergocristine	CHEMBL601773
CNX-774	CHEMBL2216827
emodin	CHEMBL289277
molindone	CHEMBL460
imexon	CHEMBL146428
CCG-50014	CHEMBL1917204
hydrocortisone-butyrate	CHEMBL1683
dexniguldipine	CHEMBL2051956
R306465	CHEMBL609583
khellin	CHEMBL44746
SGC-CBP30	CHEMBL3622373
teprenone	CHEMBL3989432
teprenone	CHEMBL79686
coumarin	CHEMBL6466
embelin	CHEMBL221137
acifran	CHEMBL278488
azilsartan	CHEMBL57242
methylatropine-nitrate	CHEMBL516476
etomoxir	CHEMBL2051959
benfluorex	CHEMBL400599
cytochalasin-b	CHEMBL411729
gossypol	CHEMBL51483
dexlansoprazole	CHEMBL1201863
tofisopam	CHEMBL404216
bevirimat-dimeglumine	CHEMBL2218911
PRE-084	CHEMBL305881
tozasertib	CHEMBL572878
daprodustat	CHEMBL3544988
AS-1949490	CHEMBL2337806
piceatannol	CHEMBL69863
MK-0752	CHEMBL4205422
EMD-66684	CHEMBL288246
cyamemazine	CHEMBL2104153
clinofibrate	CHEMBL1897738
nitrendipine	CHEMBL475534
selumetinib	CHEMBL1614701
idalopirdine	CHEMBL3286580
SB-657510	CHEMBL2348501
travoprost	CHEMBL1200799
fludarabine	CHEMBL1568
4-pyrimidinecarbonitrile	CHEMBL3352956
nithiamide	CHEMBL1872946
histamine	CHEMBL90
altretamine	CHEMBL1455
ALX-5407	CHEMBL180966
tuaminoheptane	CHEMBL123693
pepstatin	CHEMBL296588
cloperastine	CHEMBL415087
silibinin	CHEMBL1401508
iopamidol	CHEMBL1200932
iodipamide	CHEMBL1165268
sarcosine	CHEMBL304383
floctafenine	CHEMBL2105075
gabazine	CHEMBL32503
sofalcone	CHEMBL1441961
lidoflazine	CHEMBL92870
dienestrol	CHEMBL1018
mavoglurant	CHEMBL3087515
MK-6096	CHEMBL2107822
conivaptan	CHEMBL1755
org-26576	CHEMBL3707401
BMS-833923	CHEMBL3545403
NGB-2904	CHEMBL300780
pyronaridine	CHEMBL35228
cefetamet	CHEMBL2103764
erastin	CHEMBL401989
AM-1241	CHEMBL408430
capadenoson	CHEMBL3235279
rifamycin-sv	CHEMBL437765
butylscopolamine-bromide	CHEMBL1256901
asenapine	CHEMBL3187365
JNJ-37822681	CHEMBL3234237
brigatinib	CHEMBL3545311
ibrutinib	CHEMBL1873475
necrostatin-1	CHEMBL195008
ditolylguanidine	CHEMBL282433
capecitabine	CHEMBL1773
diphenhydramine	CHEMBL657
GW-2580	CHEMBL261849
fexaramine	CHEMBL192966
lesinurad	CHEMBL2105720
pentetic-acid	CHEMBL780
tyrphostin-AG-99	CHEMBL296407
mestinon	CHEMBL1115
NU-7441	CHEMBL188678
acarbose	CHEMBL1566
acarbose	CHEMBL404271
tariquidar	CHEMBL348475
GBR-12935	CHEMBL26320
suloctidil	CHEMBL404849
suloctidil	CHEMBL588119
mercaptopurine	CHEMBL1425
SB-328437	CHEMBL33227
androstenone	CHEMBL1309552
maropitant	CHEMBL2111099
cinflumide	CHEMBL132663
reserpine	CHEMBL772
BMS-345541	CHEMBL249697
KX2-391	CHEMBL571546
roquinimex	CHEMBL11672
ornithine	CHEMBL446143
mesoridazine	CHEMBL1088
tolterodine	CHEMBL1382
isopropamide-iodide	CHEMBL1200347
palmitoylethanolamide	CHEMBL417675
bevantolol	CHEMBL314010
acitretin	CHEMBL1131
picolinic-acid	CHEMBL72628
mestranol	CHEMBL1201151
miocamycin	CHEMBL1091024
grapiprant	CHEMBL3039498
pexidartinib	CHEMBL3813873
CGP-7930	CHEMBL1256697
mirabegron	CHEMBL2095212
pazufloxacin	CHEMBL240163
AFN-1252	CHEMBL1652621
bifendate	CHEMBL105184
ioxilan	CHEMBL1201075
phenprobamate	CHEMBL1079576
pipotiazine-palmitate	CHEMBL2106439
centpropazine	CHEMBL4303166
SAR407899	CHEMBL1667969
nizatidine	CHEMBL3183075
N-acetyl-D-glucosamine	CHEMBL240524
lenalidomide	CHEMBL848
oxaliplatin	CHEMBL414804
rilmenidine	CHEMBL289480
NMS-873	CHEMBL2311578
retinaldehyde	CHEMBL81379
4-P-PDOT	CHEMBL285718
folic-acid	CHEMBL1622
fexofenadine	CHEMBL914
2-chloro-N6-cyclopentyladenosine	CHEMBL284969
letosteine	CHEMBL2105044
epitiostanol	CHEMBL2106161
broxuridine	CHEMBL222280
dyphylline	CHEMBL1752
capsaicin	CHEMBL294199
cinoxacin	CHEMBL1208
delamanid	CHEMBL218650
dibutyl-phthalate	CHEMBL272485
anisomycin	CHEMBL423192
alizarin	CHEMBL55814
PPT	CHEMBL441282
L-368899	CHEMBL2112903
oseltamivir-phosphate	CHEMBL1200340
JNJ-26990990	CHEMBL466517
ML161	CHEMBL1411333
gonadorelin	CHEMBL1007
GW-843682X	CHEMBL514499
phenazopyridine	CHEMBL1242
6-chloromelatonin	CHEMBL34730
monensin	CHEMBL256105
gentiopicrin	CHEMBL508320
sodium-tanshinone-ii-a-sulfonate	CHEMBL1473252
diosmin	CHEMBL231884
naringin	CHEMBL451532
BMS-777607	CHEMBL460702
10-deacetylbaccatin	CHEMBL393912
10-deacetylbaccatin	CHEMBL1713307
dutasteride	CHEMBL1200969
firocoxib	CHEMBL69998
17-alpha-methyltestosterone	CHEMBL1395
hexoprenaline	CHEMBL1589896
oxybuprocaine	CHEMBL1200
taxifolin	CHEMBL337309
nicaraven	CHEMBL1705525
timofibrate	CHEMBL2106730
resatorvid	CHEMBL225157
velneperit	CHEMBL2016681
chloroquine	CHEMBL76
anastrozole	CHEMBL1399
bindarit	CHEMBL2107549
shikimic-acid	CHEMBL290345
forskolin	CHEMBL52606
cinepazide	CHEMBL1874750
VX-745	CHEMBL119385
pregabalin	CHEMBL1059
GW-1929	CHEMBL434063
fluspirilene	CHEMBL46516
L-745870	CHEMBL267014
YM-511	CHEMBL108425
mdivi-1	CHEMBL1449747
amorolfine	CHEMBL489411
fludarabine-phosphate	CHEMBL1096882
L-NIL	CHEMBL7889
parthenolide	CHEMBL540445
fruquintinib	CHEMBL3545339
metaxalone	CHEMBL1079604
K-858	CHEMBL1413473
pasiniazid	CHEMBL1496806
dibenzothiophene	CHEMBL219828
costunolide	CHEMBL86416
bromantan	CHEMBL4303520
tonabersat	CHEMBL318191
falecalcitriol	CHEMBL2106158
actinoquinol	CHEMBL1356732
fosphenytoin	CHEMBL1201336
rosmarinic-acid	CHEMBL324842
spiperone	CHEMBL267930
albuterol	CHEMBL714
JNJ-7777120	CHEMBL129198
nepicastat	CHEMBL1188395
mechlorethamine	CHEMBL427
icatibant-acetate	CHEMBL2028852
procysteine	CHEMBL442218
avasimibe	CHEMBL101309
BF2.649	CHEMBL462605
dioxybenzone	CHEMBL1326877
miconazole	CHEMBL91
PIK-93	CHEMBL1229535
VU0238429	CHEMBL466253
ABT-702	CHEMBL66089
triciribine	CHEMBL331237
AMG900	CHEMBL2140408
entinostat	CHEMBL27759
haloprogin	CHEMBL1289
chloramphenicol	CHEMBL130
NU-1025	CHEMBL123904
SKLB1002	CHEMBL2180603
CH5132799	CHEMBL1684984
CGP-12177	CHEMBL420746
melphalan	CHEMBL852
KW-2478	CHEMBL4300557
PA-824	CHEMBL227875
octinoxate	CHEMBL1200608
octinoxate	CHEMBL3183184
bisindolylmaleimide-ix	CHEMBL6291
nalfurafine	CHEMBL267495
gavestinel	CHEMBL44793
ritanserin	CHEMBL267777
mexeneone	CHEMBL1898387
pyrithyldione	CHEMBL1722501
emtricitabine	CHEMBL885
quinine	CHEMBL170
iniparib	CHEMBL1170047
NVP-BVU972	CHEMBL1738731
cytochlor	CHEMBL4297275
dimpylate	CHEMBL388560
PRX-08066	CHEMBL513994
dichlorisone-acetate	CHEMBL1385514
bornyl-acetate	CHEMBL2106026
1-phenylbiguanide	CHEMBL13791
A922500	CHEMBL430405
UNC2250	CHEMBL3092807
alimemazine	CHEMBL829
dichlorophen	CHEMBL33845
sulfamonomethoxine	CHEMBL462990
bezafibrate	CHEMBL264374
flumatinib	CHEMBL3545413
CGS-15943	CHEMBL16687
prednisolone-sodium-phosphate	CHEMBL1201014
IOWH032	CHEMBL4297392
tioxolone	CHEMBL442687
clidinium	CHEMBL620
dimemorfan	CHEMBL2106325
trospium	CHEMBL1888176
isepamicin	CHEMBL272080
ZSTK-474	CHEMBL586701
tenidap	CHEMBL1908355
tosufloxacin	CHEMBL273348
maxacalcitol	CHEMBL333950
lacidipine	CHEMBL460291
RHC-80267	CHEMBL158897
etoricoxib	CHEMBL416146
EMD-53998	CHEMBL314612
terutroban	CHEMBL2107786
CL316243	CHEMBL32590
cinchophen	CHEMBL348000
CF102	CHEMBL431733
SB-203580	CHEMBL10
TG100-115	CHEMBL230011
3-deazaadenosine	CHEMBL202701
MK-2295	CHEMBL3545227
rubitecan	CHEMBL77305
almorexant	CHEMBL455136
torin-1	CHEMBL1256459
PJ-34	CHEMBL372303
TAK-875	CHEMBL1829174
